Facility Name,Site Address,Last Inspection Date,Facility Type,url_entity_partial,category,Community,Program Area,Closed Date,Reason,Reopen Date,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
Thyne's Family Bakery & the Cat-Urday Cafe - Baked Goods - Retail,177 Gore Street  Sault Ste Marie ON,01-May-2024,Baked Goods - Retail,location.href = '/Portal/Facility/Details/685a70d0-f225-4449-bcbe-6171d4ca145d' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/685a70d0-f225-4449-bcbe-6171d4ca145d
17 Restaurant - Restaurant,2-Woodward Ave.  Blind River ON P0R 1B0,06-Dec-2023,Restaurant,location.href = '/Portal/Facility/Details/d186d75c-f80a-4e8a-9bb6-6be65f0cdec8' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d186d75c-f80a-4e8a-9bb6-6be65f0cdec8
17E Trading Post - Convenience / Variety,6999 Highway 17 E  Desbarats ON P0R 1E0,04-Mar-2024,Convenience / Variety,location.href = '/Portal/Facility/Details/c1fe5cde-b39f-4031-a4d8-1136fe96244c' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/c1fe5cde-b39f-4031-a4d8-1136fe96244c
40 Below Freeze Dried Snacks - Home Based Food Inspection,no site address,09-Jun-2023,Home Based Food Inspection,location.href = '/Portal/Facility/Details/89b7e663-7c12-44ea-8bda-569d107f345e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/89b7e663-7c12-44ea-8bda-569d107f345e
75 Pies - Food Take Out,124 Bruce Street  Sault Ste. Marie Ontario P6A 2X7,10-Aug-2023,Food Take Out,location.href = '/Portal/Facility/Details/14c6851f-d2bc-43a8-9dbf-4895d380102e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/14c6851f-d2bc-43a8-9dbf-4895d380102e
A One Stop Esso - Convenience / Variety,201 Highway 17 N  White River ON P0M 3G0,04-Aug-2023,Convenience / Variety,location.href = '/Portal/Facility/Details/74f4de16-3ce0-4c71-b898-9b094020e301' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/74f4de16-3ce0-4c71-b898-9b094020e301
A Touch of Home - Food Take Out,10-Woodward Ave  Blind River ON P0R 1B0,05-Dec-2023,Food Take Out,location.href = '/Portal/Facility/Details/268c9e1a-64f3-4e85-8721-7c229b63638b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/268c9e1a-64f3-4e85-8721-7c229b63638b
A&A Catering and Charcuterie - Food Caterer,543 Trunk Road  Sault Ste. Marie ON P6A 3T1,,Food Caterer,location.href = '/Portal/Facility/Details/50f1b9d4-d4d5-41e3-89f2-e45e83a67290' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/50f1b9d4-d4d5-41e3-89f2-e45e83a67290
A&W - Restaurant,121 Great Northern Rd  Sault Ste. Marie ON P6B 4Y9,19-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/a9a62147-9262-410a-8db7-d2050bc3095b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a9a62147-9262-410a-8db7-d2050bc3095b
A&W - Restaurant,659 Great Northern Rd  Sault Ste. Marie ON P6B 5Y1,23-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/d83fcf77-acd7-46f9-956b-e53d59aa7ec8' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d83fcf77-acd7-46f9-956b-e53d59aa7ec8
