Inspection Date,Inspection Type,Facility Name,Inspection Number,url_inspection,url_inspection_full,url_entity_full
01-May-2024,Required,Thyne's Family Bakery & the Cat-Urday Cafe - Baked Goods - Retail,168907,location.href = '/Portal/Inspection/Details/d394e362-1231-4bbc-8baa-3a6210558cfe' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/d394e362-1231-4bbc-8baa-3a6210558cfe,http://disclosure.algomapublichealth.com/Portal/Facility/Details/685a70d0-f225-4449-bcbe-6171d4ca145d
20-Sep-2023,Required,Thyne's Family Bakery & the Cat-Urday Cafe - Baked Goods - Retail,141412,location.href = '/Portal/Inspection/Details/8e63f8ae-b3af-44dc-9972-b0a69169a248' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/8e63f8ae-b3af-44dc-9972-b0a69169a248,http://disclosure.algomapublichealth.com/Portal/Facility/Details/685a70d0-f225-4449-bcbe-6171d4ca145d
06-Dec-2023,Required,17 Restaurant - Restaurant,157924,location.href = '/Portal/Inspection/Details/1ba635f9-bff9-4c1b-af6c-5dc2ae642fbf' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/1ba635f9-bff9-4c1b-af6c-5dc2ae642fbf,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d186d75c-f80a-4e8a-9bb6-6be65f0cdec8
19-Oct-2022,Required,17 Restaurant - Restaurant,91031,location.href = '/Portal/Inspection/Details/323d624c-2542-4266-892b-3e3ac66039b7' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/323d624c-2542-4266-892b-3e3ac66039b7,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d186d75c-f80a-4e8a-9bb6-6be65f0cdec8
04-Mar-2024,Required,17E Trading Post - Convenience / Variety,163636,location.href = '/Portal/Inspection/Details/b8b0772d-7ed9-4913-b456-15fd3ad0d0f2' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/b8b0772d-7ed9-4913-b456-15fd3ad0d0f2,http://disclosure.algomapublichealth.com/Portal/Facility/Details/c1fe5cde-b39f-4031-a4d8-1136fe96244c
24-Mar-2023,Required,17E Trading Post - Convenience / Variety,110427,location.href = '/Portal/Inspection/Details/dab1b01c-99bc-409d-bfde-4fe858a8a5c4' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/dab1b01c-99bc-409d-bfde-4fe858a8a5c4,http://disclosure.algomapublichealth.com/Portal/Facility/Details/c1fe5cde-b39f-4031-a4d8-1136fe96244c
09-Jun-2023,Required,40 Below Freeze Dried Snacks - Home Based Food Inspection,126628,location.href = '/Portal/Inspection/Details/72ea5646-f4ba-48cb-b062-eeed7bed0f8a' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/72ea5646-f4ba-48cb-b062-eeed7bed0f8a,http://disclosure.algomapublichealth.com/Portal/Facility/Details/89b7e663-7c12-44ea-8bda-569d107f345e
08-Feb-2023,Required,40 Below Freeze Dried Snacks - Home Based Food Inspection,101693,location.href = '/Portal/Inspection/Details/4439340e-4156-4f2d-8e86-f46c7e9807c5' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/4439340e-4156-4f2d-8e86-f46c7e9807c5,http://disclosure.algomapublichealth.com/Portal/Facility/Details/89b7e663-7c12-44ea-8bda-569d107f345e
14-Oct-2022,Required,40 Below Freeze Dried Snacks - Home Based Food Inspection,90503,location.href = '/Portal/Inspection/Details/89acd636-0daa-489a-aee7-5cbaf12d1b22' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/89acd636-0daa-489a-aee7-5cbaf12d1b22,http://disclosure.algomapublichealth.com/Portal/Facility/Details/89b7e663-7c12-44ea-8bda-569d107f345e
10-Aug-2023,Required,75 Pies - Food Take Out,135230,location.href = '/Portal/Inspection/Details/971937ba-c2e2-46c7-8dc9-4f871de02b4e' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/971937ba-c2e2-46c7-8dc9-4f871de02b4e,http://disclosure.algomapublichealth.com/Portal/Facility/Details/14c6851f-d2bc-43a8-9dbf-4895d380102e
04-Aug-2023,Required,A One Stop Esso - Convenience / Variety,134516,location.href = '/Portal/Inspection/Details/0c66b0fa-c571-47a5-875c-5dae46309c8b' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/0c66b0fa-c571-47a5-875c-5dae46309c8b,http://disclosure.algomapublichealth.com/Portal/Facility/Details/74f4de16-3ce0-4c71-b898-9b094020e301
12-Dec-2022,Required,A One Stop Esso - Convenience / Variety,96112,location.href = '/Portal/Inspection/Details/8f551452-0563-4c74-b89c-b93c667eeaf0' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/8f551452-0563-4c74-b89c-b93c667eeaf0,http://disclosure.algomapublichealth.com/Portal/Facility/Details/74f4de16-3ce0-4c71-b898-9b094020e301
05-Dec-2023,Required,A Touch of Home - Food Take Out,157762,location.href = '/Portal/Inspection/Details/1a3eddea-72b1-4e01-b16d-28b827a08cf3' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/1a3eddea-72b1-4e01-b16d-28b827a08cf3,http://disclosure.algomapublichealth.com/Portal/Facility/Details/268c9e1a-64f3-4e85-8721-7c229b63638b
19-Apr-2023,Required,A Touch of Home - Food Take Out,113096,location.href = '/Portal/Inspection/Details/7a1325f2-e075-4405-a00f-c31e341451db' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/7a1325f2-e075-4405-a00f-c31e341451db,http://disclosure.algomapublichealth.com/Portal/Facility/Details/268c9e1a-64f3-4e85-8721-7c229b63638b
04-Aug-2022,Required,A Touch of Home - Food Take Out,87680,location.href = '/Portal/Inspection/Details/49da29ac-b050-43ae-b4b0-40e78157b9af' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/49da29ac-b050-43ae-b4b0-40e78157b9af,http://disclosure.algomapublichealth.com/Portal/Facility/Details/268c9e1a-64f3-4e85-8721-7c229b63638b
19-Jan-2024,Required,A&W - Restaurant,160048,location.href = '/Portal/Inspection/Details/b6646dc1-8959-41c5-976d-7088050682bc' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/b6646dc1-8959-41c5-976d-7088050682bc,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a9a62147-9262-410a-8db7-d2050bc3095b
