url_inspection_full,inspection_results,actions_taken
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/d394e362-1231-4bbc-8baa-3a6210558cfe,No infractions noted at the time of inspection,"Inspection Satisfactory
Food Safety Resources Provided"
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/8e63f8ae-b3af-44dc-9972-b0a69169a248,No infractions noted at the time of inspection,Inspection Satisfactory
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/1ba635f9-bff9-4c1b-af6c-5dc2ae642fbf,No infractions noted at the time of inspection,Inspection Satisfactory
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/323d624c-2542-4266-892b-3e3ac66039b7,"Corrected During Inspection
Adequate hand washing station(s) in all preparation / service areas used for hand washing only [Sec. 7(3)]
Hand washing station is only to be used for hand washing and shall not be obstructed in any way [Sec. 7(4)]",Infraction(s) Observed - Action Required
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/b8b0772d-7ed9-4913-b456-15fd3ad0d0f2,No infractions noted at the time of inspection,Inspection Satisfactory
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/dab1b01c-99bc-409d-bfde-4fe858a8a5c4,No infractions noted at the time of inspection,Inspection Satisfactory
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/72ea5646-f4ba-48cb-b062-eeed7bed0f8a,No infractions noted at the time of inspection,"Inspection Satisfactory
Food Safety Resources Provided"
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/4439340e-4156-4f2d-8e86-f46c7e9807c5,No infractions noted at the time of inspection,Inspection Satisfactory
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/89acd636-0daa-489a-aee7-5cbaf12d1b22,No infractions noted at the time of inspection,"Inspection Satisfactory
Food Handler Education on Site"
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/971937ba-c2e2-46c7-8dc9-4f871de02b4e,No infractions noted at the time of inspection,"Inspection Satisfactory
Food Handler Education on Site"
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/0c66b0fa-c571-47a5-875c-5dae46309c8b,No infractions noted at the time of inspection,Inspection Satisfactory
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/8f551452-0563-4c74-b89c-b93c667eeaf0,No infractions noted at the time of inspection,Inspection Satisfactory
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/1a3eddea-72b1-4e01-b16d-28b827a08cf3,No infractions noted at the time of inspection,Inspection Satisfactory
http://disclosure.algomapublichealth.com/Portal/Inspection/Details/7a1325f2-e075-4405-a00f-c31e341451db,No infractions noted at the time of inspection,Inspection Satisfactory
