Facility Name,Facility Type,Last Inspection Date,Site Address,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
1/4 Mile Diner,Mobile Preparation Premises,30-Jun-2023,Toronto Motorsports Park-180 Kohler Road Cayuga ON,location.href = '/Portal/Facility/Details/c9407427-2cd5-461c-9553-9d2c882ce1d0' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c9407427-2cd5-461c-9553-9d2c882ce1d0
2 Main West Variety & Gas,Convenience / Variety,14-Mar-2024,"2 Main Avenue West, P.O. Box 83 Fisherville ON N0A 1G0",location.href = '/Portal/Facility/Details/74ed2681-98aa-4012-94dd-1a323fd4d077' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/74ed2681-98aa-4012-94dd-1a323fd4d077
211 Main,Restaurant,26-Jan-2024,211 Main St Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d
4 Seasons Farm Shop,Convenience / Variety,01-Dec-2023,691 Norfolk St S Simcoe ON N3Y 4K1,location.href = '/Portal/Facility/Details/6d3edf96-b47e-4cd0-a55f-d0265d28eb34' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6d3edf96-b47e-4cd0-a55f-d0265d28eb34
4280 Pho + Gourmet Take-out,Food Take Out,12-Jan-2024,C-318 Main St PO Box 329 Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/d5438f35-55fe-407d-8244-16f1d15d6f2b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d5438f35-55fe-407d-8244-16f1d15d6f2b
A&W,Restaurant,24-Oct-2023,213 Broad St E. Dunnville ON N1A 1G1,location.href = '/Portal/Facility/Details/6f6c6ba6-9714-4031-a8e5-2ac9ad5f5cf4' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6f6c6ba6-9714-4031-a8e5-2ac9ad5f5cf4
A&W,Restaurant,23-Feb-2024,360 James Street Delhi ON N4B 2B4,location.href = '/Portal/Facility/Details/35d09ad8-ce23-4ae4-9708-2dc73f07b200' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35d09ad8-ce23-4ae4-9708-2dc73f07b200
A&W,Restaurant,18-Apr-2024,140 Queensway E. Simcoe ON N3Y 4Y7,location.href = '/Portal/Facility/Details/da9dbb80-6860-4693-be08-df92c2e265bd' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/da9dbb80-6860-4693-be08-df92c2e265bd
A&W,Restaurant,22-Jan-2024,351 Argyle St S. Caledonia ON N3W 1K7,location.href = '/Portal/Facility/Details/3530f028-6cc8-47c2-afb9-c6411fa64fe1' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3530f028-6cc8-47c2-afb9-c6411fa64fe1
A.E. Jones Bakery,Bakery - Production,12-Mar-2024,26 Argyle St N. Caledonia ON N3W 1B7,location.href = '/Portal/Facility/Details/e44a7a18-0c35-4913-8f28-00a057f3761c' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e44a7a18-0c35-4913-8f28-00a057f3761c
