Critical Infractions Count,Non Critical Infractions Count,Inspection Type,Inspection Date,url_inspection,url_inspection_full,url_entity_full
0,1,Required,30-Jun-2023,location.href = '/Portal/Inspection/Details/9d74ea20-9d70-41aa-9640-b967883bccd5' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/9d74ea20-9d70-41aa-9640-b967883bccd5,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c9407427-2cd5-461c-9553-9d2c882ce1d0
1,1,Required,14-Mar-2024,location.href = '/Portal/Inspection/Details/3ca20132-ae93-4062-ac48-ec03588578b4' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/3ca20132-ae93-4062-ac48-ec03588578b4,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/74ed2681-98aa-4012-94dd-1a323fd4d077
0,0,Required,08-Feb-2023,location.href = '/Portal/Inspection/Details/0e6ba253-1e97-45c8-b5c1-a9a79b3bab8a' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/0e6ba253-1e97-45c8-b5c1-a9a79b3bab8a,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/74ed2681-98aa-4012-94dd-1a323fd4d077
0,1,Required,08-Sep-2022,location.href = '/Portal/Inspection/Details/e388feb6-9785-4438-be04-9a8f26c754c4' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/e388feb6-9785-4438-be04-9a8f26c754c4,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/74ed2681-98aa-4012-94dd-1a323fd4d077
1,1,Required,26-Jan-2024,location.href = '/Portal/Inspection/Details/cfd64290-2b90-4362-a808-83797f8954bd' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/cfd64290-2b90-4362-a808-83797f8954bd,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d
1,0,Required,31-Oct-2023,location.href = '/Portal/Inspection/Details/e942d18c-534f-4cb7-b4cb-561d0183f1c8' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/e942d18c-534f-4cb7-b4cb-561d0183f1c8,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d
2,1,Required,13-Jun-2023,location.href = '/Portal/Inspection/Details/c89f0c2a-18b3-4724-9758-9a8754b4f809' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/c89f0c2a-18b3-4724-9758-9a8754b4f809,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d
1,0,Required,17-Jan-2023,location.href = '/Portal/Inspection/Details/7b61492b-45ad-48ef-ba10-6b23944efe7d' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/7b61492b-45ad-48ef-ba10-6b23944efe7d,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d
0,0,Required,10-Nov-2022,location.href = '/Portal/Inspection/Details/56795dfc-8436-4c77-a577-96ef9ebb8a1f' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/56795dfc-8436-4c77-a577-96ef9ebb8a1f,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d
0,0,Follow-up,17-Aug-2022,location.href = '/Portal/Inspection/Details/ea49bb58-16f4-40e7-91ff-523bd63c838d' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ea49bb58-16f4-40e7-91ff-523bd63c838d,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d
2,1,Required,12-Aug-2022,location.href = '/Portal/Inspection/Details/4ae7f3bd-3c44-41f8-a741-fa98c09d060f' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/4ae7f3bd-3c44-41f8-a741-fa98c09d060f,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d
0,0,Required,01-Dec-2023,location.href = '/Portal/Inspection/Details/2f427582-ec2a-4a95-80d2-dbb29d041250' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/2f427582-ec2a-4a95-80d2-dbb29d041250,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6d3edf96-b47e-4cd0-a55f-d0265d28eb34
0,1,Required,07-Dec-2022,location.href = '/Portal/Inspection/Details/4ffd0904-86f8-4957-9547-f4f359abd0c7' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/4ffd0904-86f8-4957-9547-f4f359abd0c7,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6d3edf96-b47e-4cd0-a55f-d0265d28eb34
0,0,Required,12-Jan-2024,location.href = '/Portal/Inspection/Details/c09b939e-81df-4250-b9eb-c59a8b9dc5b8' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/c09b939e-81df-4250-b9eb-c59a8b9dc5b8,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d5438f35-55fe-407d-8244-16f1d15d6f2b
0,0,Required,15-Sep-2023,location.href = '/Portal/Inspection/Details/27506859-15e0-42d2-aff8-bd38e358fe28' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/27506859-15e0-42d2-aff8-bd38e358fe28,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d5438f35-55fe-407d-8244-16f1d15d6f2b
