url_inspection_full,inspection_results,actions_taken
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/9d74ea20-9d70-41aa-9640-b967883bccd5,"Critical Questions
No critical questions found.
Non-Critical Questions
Gauge provided for determining water or waste level in holding tank (NC)
Provide an easily readable gauge for determining waste or water level in the tank
Not in Compliance","Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/3ca20132-ae93-4062-ac48-ec03588578b4,"Critical Questions
Food protected from contamination or adulteration (C)
Store all food, including beverages, off the floor to prevent contamination
Not in Compliance
Non-Critical Questions
Maintain sanitary facilities in a clean and sanitary manner, equipped with all necessary supplies (NC)
Equip sanitary facility with single-service towels or an air dryer
Not in Compliance","Certificate of Inspection Posted
Re-Inspection Required
Education Provided On Site
Water Sample Collected
Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/0e6ba253-1e97-45c8-b5c1-a9a79b3bab8a,No results to show,Certificate of Inspection Posted
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/e388feb6-9785-4438-be04-9a8f26c754c4,"Critical Questions
No critical questions found.
Non-Critical Questions
Accurate thermometers are available on site (NC)
Provide an easy-to-read, accurate indicating thermometer to check food storage temperatures
Not in Compliance",Action Required
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/cfd64290-2b90-4362-a808-83797f8954bd,"Critical Questions
Food protected from contamination or adulteration (C)
Store raw foods separate and below cooked and/or ready-to-eat foods
Corrected During Inspection
Non-Critical Questions
Surfaces that do not come in contact with food are cleaned and sanitized as often as is necessary to maintain them in a sanitary condition (NC)
Ensure storage racks, shelves and pallets are clean and free from dust and/or debris
Corrected During Inspection","Certificate of Inspection Posted
Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/e942d18c-534f-4cb7-b4cb-561d0183f1c8,"Critical Questions
Food protected from contamination or adulteration (C)
Store all food, including beverages, off the floor to prevent contamination
Store raw foods separate and below cooked and/or ready-to-eat foods
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/c89f0c2a-18b3-4724-9758-9a8754b4f809,"Critical Questions
Multi-service articles, utensils, and food contact surfaces are cleaned and sanitized after each use and as often as is necessary to maintain sanitary condition (C)
Change sanitizing solution for wiping cloths at a minimum of every 2 hours, or as often as is necessary to maintain the required concentration of the solution
Corrected During Inspection
Food protected from contamination or adulteration (C)
Protect food from contamination and adulteration
Corrected During Inspection
Non-Critical Questions
Equipment, utensils, multi-service articles and all surfaces are properly constructed and maintained in good condition (NC)
Ensure equipment, utensils and multi-service articles and food contact surfaces are in good repair
Corrected During Inspection",No Further Action Required
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/7b61492b-45ad-48ef-ba10-6b23944efe7d,"Critical Questions
Food protected from contamination or adulteration (C)
Store all food, including beverages, off the floor to prevent contamination
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Food Handler Recertification Advised
Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/56795dfc-8436-4c77-a577-96ef9ebb8a1f,No results to show,"Certificate of Inspection Posted
No Action Required
Licensing - Health Unit has no objections to premises receiving Norfolk County Business License
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ea49bb58-16f4-40e7-91ff-523bd63c838d,No results to show,"Certificate of Inspection Posted
No Action Required
Certified Food Handler on site"
