Inspection Date,Inspection Type,Critical Infractions Count,Non Critical Infractions Count,Inspection Result,url_inspection,url_inspection_full,url_entity_full
13-Dec-2023,Required,0,0,,location.href = '/Inspection/Details/ed140389-169e-4b05-8237-a0c737c9c5e7' ,http://choosewise.nwhu.on.ca/Inspection/Details/ed140389-169e-4b05-8237-a0c737c9c5e7,http://choosewise.nwhu.on.ca/Facility/Details/1940a867-b953-42c2-9431-c0d0c8b933a0
22-Jun-2023,Required,1,0,,location.href = '/Inspection/Details/33b531bf-36b0-48f3-8155-ff3a8528a204' ,http://choosewise.nwhu.on.ca/Inspection/Details/33b531bf-36b0-48f3-8155-ff3a8528a204,http://choosewise.nwhu.on.ca/Facility/Details/1940a867-b953-42c2-9431-c0d0c8b933a0
15-Feb-2024,Follow-up,0,0,,location.href = '/Inspection/Details/c34617a8-2de2-4d97-afc7-6f9fce6d999e' ,http://choosewise.nwhu.on.ca/Inspection/Details/c34617a8-2de2-4d97-afc7-6f9fce6d999e,http://choosewise.nwhu.on.ca/Facility/Details/8fdbc6c6-8ed1-4f00-8e7d-a431e3946712
09-Feb-2024,Follow-up,0,1,,location.href = '/Inspection/Details/52572a34-8265-4402-aefe-502d0442e524' ,http://choosewise.nwhu.on.ca/Inspection/Details/52572a34-8265-4402-aefe-502d0442e524,http://choosewise.nwhu.on.ca/Facility/Details/8fdbc6c6-8ed1-4f00-8e7d-a431e3946712
05-Feb-2024,Required,0,2,,location.href = '/Inspection/Details/e671481f-9adc-4e02-8207-f51d52213e83' ,http://choosewise.nwhu.on.ca/Inspection/Details/e671481f-9adc-4e02-8207-f51d52213e83,http://choosewise.nwhu.on.ca/Facility/Details/8fdbc6c6-8ed1-4f00-8e7d-a431e3946712
22-Nov-2023,Required,1,2,,location.href = '/Inspection/Details/d2f5b3bf-61e7-4fdf-b1d3-ab8f16532596' ,http://choosewise.nwhu.on.ca/Inspection/Details/d2f5b3bf-61e7-4fdf-b1d3-ab8f16532596,http://choosewise.nwhu.on.ca/Facility/Details/8fdbc6c6-8ed1-4f00-8e7d-a431e3946712
22-Feb-2023,Required,1,2,,location.href = '/Inspection/Details/c35aeb15-eb62-4da0-a7be-34f3114506c3' ,http://choosewise.nwhu.on.ca/Inspection/Details/c35aeb15-eb62-4da0-a7be-34f3114506c3,http://choosewise.nwhu.on.ca/Facility/Details/8fdbc6c6-8ed1-4f00-8e7d-a431e3946712
14-Feb-2020,Required,0,3,,location.href = '/Inspection/Details/797494ac-bb77-4691-a3d6-c4542672409c' ,http://choosewise.nwhu.on.ca/Inspection/Details/797494ac-bb77-4691-a3d6-c4542672409c,http://choosewise.nwhu.on.ca/Facility/Details/8fdbc6c6-8ed1-4f00-8e7d-a431e3946712
25-Apr-2024,Required,0,0,,location.href = '/Inspection/Details/5501d7a2-bfba-4510-a5b5-0f918f2b0dab' ,http://choosewise.nwhu.on.ca/Inspection/Details/5501d7a2-bfba-4510-a5b5-0f918f2b0dab,http://choosewise.nwhu.on.ca/Facility/Details/b65dcf1b-add7-4702-8a66-125a9bcbdf1f
26-Oct-2023,Follow-up,0,0,,location.href = '/Inspection/Details/dfa575c7-c381-4917-bf7d-25651d76b14e' ,http://choosewise.nwhu.on.ca/Inspection/Details/dfa575c7-c381-4917-bf7d-25651d76b14e,http://choosewise.nwhu.on.ca/Facility/Details/b65dcf1b-add7-4702-8a66-125a9bcbdf1f
