Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result,url_entity_partial,category,url_entity_full
Bora Pharmaceuticals - Cafeteria,7333 Mississauga Rd Mississauga ON L5N 6L4,Cafeteria,2024-04-22,,location.href = '/Portal/Facility/Details/01716e6b-8877-489d-a451-df4d7e6b0983' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/01716e6b-8877-489d-a451-df4d7e6b0983
Eh to Zed Preschool Canada Early Learning Academy,1-3-8814 The Gore Rd Brampton ON L6P 1B0,IPAC - Child Care - Off-site Food Preparation,2024-04-09,,location.href = '/Portal/Facility/Details/e9e73af3-ce4b-4cfb-8c5f-4d5f60b38f9d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e9e73af3-ce4b-4cfb-8c5f-4d5f60b38f9d
Haleon - Sodexo Canada Ltd,450-55 Standish Ct Mississauga ON L5R 4B2,Cafeteria,2024-01-12,,location.href = '/Portal/Facility/Details/14245cf6-b9c5-4165-9bee-35c793d85659' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/14245cf6-b9c5-4165-9bee-35c793d85659
Kitchen Food Fair,118-284 Queen St E Brampton ON L6V 1C2,Food Store (e.g. Convenience/Variety),2024-01-24,,location.href = '/Portal/Facility/Details/7a71df16-ba50-4b97-8f58-691fe256aad7' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7a71df16-ba50-4b97-8f58-691fe256aad7
Kitchen Food Fair,1-110 Brickyard Way Brampton ON L6V 4N1,Food Store (e.g. Convenience/Variety),,,location.href = '/Portal/Facility/Details/fb73a5cc-e9b9-433a-aaf8-ad5d13b5effd' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/fb73a5cc-e9b9-433a-aaf8-ad5d13b5effd
Kitchen Food Fair,1-110 Brickyard Way Brampton ON L6V 4N1,Food Store (e.g. Convenience/Variety),,,location.href = '/Portal/Facility/Details/db0a53df-b633-4625-b29e-e8a9f8a9395d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/db0a53df-b633-4625-b29e-e8a9f8a9395d
Laith Meat Shop,9-223 Ceremonial Dr Mississauga ON L5R 2N3,Butcher Shop,2024-04-09,,location.href = '/Portal/Facility/Details/03bc43ff-7a4f-473d-b142-878642e4ba66' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/03bc43ff-7a4f-473d-b142-878642e4ba66
Mango Like Desserts,1-728-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2023-11-29,,location.href = '/Portal/Facility/Details/7c44e824-5ecc-4ac0-9554-706c2767e052' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7c44e824-5ecc-4ac0-9554-706c2767e052
Pizza Xpress,2-135 Inspire Blvd Brampton ON L6R 3X9,Food Take Out,2023-12-05,,location.href = '/Portal/Facility/Details/b0e34db5-facd-4135-8825-ef15731e6b93' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b0e34db5-facd-4135-8825-ef15731e6b93
PLASP Active Learning Centre,25 Corporation Dr Brampton ON L6S 6A2,IPAC - Child Care - On-site Food Preparation,2024-04-12,,location.href = '/Portal/Facility/Details/af39b9f2-6afb-4e26-b651-68af5f399044' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/af39b9f2-6afb-4e26-b651-68af5f399044
1 Stop African Caribbean Market,2A-16 Lisa St Brampton ON L6T 5R2,Food Store (e.g. Convenience/Variety),2023-09-11,,location.href = '/Portal/Facility/Details/12c49a54-d0f1-4a74-831b-926eadaeb0a9' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/12c49a54-d0f1-4a74-831b-926eadaeb0a9
1001 Nights Kebab & Shawarma,E2-50 Rivermont Rd Brampton ON L6Y 0E3,Restaurant,2023-10-19,,location.href = '/Portal/Facility/Details/c2c4274c-3d70-4365-b311-c1d63a743173' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c2c4274c-3d70-4365-b311-c1d63a743173
123 TLC Preschool,322 Queen St S Mississauga ON L5M 1M2,IPAC - Child Care - On-site Food Preparation,2024-01-31,,location.href = '/Portal/Facility/Details/7414f798-2dc2-4b0f-8d86-ab224dfebef0' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7414f798-2dc2-4b0f-8d86-ab224dfebef0
168 Sushi Japanese Buffet,2366 Dundas St W Mississauga ON L5K 1R7,Restaurant,2023-12-07,,location.href = '/Portal/Facility/Details/38e8c6d3-2096-4c05-84b6-53932fd76c3f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/38e8c6d3-2096-4c05-84b6-53932fd76c3f
180 Drinks,20-400 Matheson Blvd E Mississauga ON L4Z 1N8,Food Take Out,,,location.href = '/Portal/Facility/Details/209f26d6-22a6-4e89-ad0f-d1271052a38a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/209f26d6-22a6-4e89-ad0f-d1271052a38a
1tonamara,237 Queen St Brampton ON L6W 2B5,Restaurant,,,location.href = '/Portal/Facility/Details/9e21ee9d-f263-436f-859c-4ee3a449e0cd' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9e21ee9d-f263-436f-859c-4ee3a449e0cd
2 4 1 Pizza,1201 Hurontario St Mississauga ON L5G 3H2,Food Take Out,2024-02-29,,location.href = '/Portal/Facility/Details/de2f720e-62a6-4200-8ed4-45eeec35fd8c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/de2f720e-62a6-4200-8ed4-45eeec35fd8c
2 4 1 Pizza,102-2155 Leanne Blvd Mississauga ON L5K 2K8,Food Take Out,2024-03-01,,location.href = '/Portal/Facility/Details/032db871-efdb-4d20-b737-3aa6e35fd1c4' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/032db871-efdb-4d20-b737-3aa6e35fd1c4
2 4 1 Pizza,9-2980 Crosscurrent Dr Mississauga ON L5N 7C7,Food Take Out,2023-10-24,,location.href = '/Portal/Facility/Details/65759bc9-5ad7-4d8c-84d6-250725d9d4bc' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/65759bc9-5ad7-4d8c-84d6-250725d9d4bc
2 4 1 Pizza,17-1125 Bloor St Mississauga ON L4Y 2N6,Restaurant,2024-02-22,,location.href = '/Portal/Facility/Details/ec900e19-9f8d-4d75-9d83-9bdb85bda5df' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ec900e19-9f8d-4d75-9d83-9bdb85bda5df
2 4 1 Pizza,9-700 Balmoral Dr Brampton ON L6T 1X2,Food Take Out,2024-02-13,,location.href = '/Portal/Facility/Details/ef4a3ea6-b5e8-4003-8608-9176377fc0a7' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ef4a3ea6-b5e8-4003-8608-9176377fc0a7
