Facility Name,Site Address,Community,Facility Type,url_entity_partial,category,Enforcement,Action Taken,Status,Date of Issuance,Details,Status Date,url_entity_full
# 5 Rivers Convenience,1-1035 Mississauga St  Orillia ON L3V 3C7,Orillia,Convenience / Variety,location.href = '/Facility/Details/95b5d28d-3980-469b-bdd1-73bcc2ac4c50' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/95b5d28d-3980-469b-bdd1-73bcc2ac4c50
1 Church Street Bar & Grill,1 Church St  Cookstown ON L0L 1L0,Cookstown,Restaurant,location.href = '/Facility/Details/40f2296d-8e7e-4c58-8097-ef062a095c7b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/40f2296d-8e7e-4c58-8097-ef062a095c7b
125 Breakfast Club,125 Mississaga St E  Orillia ON L3V 1V6,Orillia,Restaurant,location.href = '/Facility/Details/70dd357f-ec82-42df-991a-a90b74d8037d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/70dd357f-ec82-42df-991a-a90b74d8037d
147 Ristorante,147 Dunlop St E  Barrie ON L4M 1A4,Barrie,Restaurant,location.href = '/Facility/Details/2dc697c0-b769-410f-b927-b0c308092ecf' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2dc697c0-b769-410f-b927-b0c308092ecf
149 Diner,21 Quarry Rd  Waubaushene ON L0K 2C0,Waubaushene,Restaurant,location.href = '/Facility/Details/e54cae5e-beb8-4440-865f-6f82abfe215d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e54cae5e-beb8-4440-865f-6f82abfe215d
1812 Grillhouse,1812 Simcoe County Rd  27 Bradford ON L0G 1T0,Bradford West Gwillimbury,Restaurant,location.href = '/Facility/Details/9b49de1d-4310-4ca2-8b1c-27604ebd16ce' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/9b49de1d-4310-4ca2-8b1c-27604ebd16ce
1858 Caesar Bar,158 Hurontario St  Collingwood Ontario L9Y 2M2,Collingwood,Bar,location.href = '/Facility/Details/2e91c488-5c58-4710-87b8-8ca75cc9bdff' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2e91c488-5c58-4710-87b8-8ca75cc9bdff
1904 Social Haus,7268 ON-26  Stayner ON L0M 1S0,Stayner,Restaurant,location.href = '/Facility/Details/48266287-df2b-4a61-b0b8-9d696413c050' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/48266287-df2b-4a61-b0b8-9d696413c050
2 4 1 Pizza,110 Little Ave  Barrie ON L4N 4K8,Barrie,Food Take Out,location.href = '/Facility/Details/b5b3c75c-0045-48ac-9dd0-aca4063e7354' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b5b3c75c-0045-48ac-9dd0-aca4063e7354
2 4 1 Pizza,49 Mississaga St E  Orillia ON L3V 1V4,Orillia,Food Take Out,location.href = '/Facility/Details/b16b6fbf-5349-4e39-8fa9-3cd7cb2a4be3' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b16b6fbf-5349-4e39-8fa9-3cd7cb2a4be3
2 4 1 Pizza,4-248 Manitoba St  Bracebridge ON P1L 2E1,Bracebridge,Restaurant,location.href = '/Facility/Details/83b7c92f-77b5-49d8-b9f7-1e3280aab781' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/83b7c92f-77b5-49d8-b9f7-1e3280aab781
2 4 1 Pizza,990 Innisfil Beach Rd  Innisfil ON L9S 2B5,Alcona,Restaurant,location.href = '/Facility/Details/4ec20056-3c02-481d-9ab2-86b82dd08e43' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/4ec20056-3c02-481d-9ab2-86b82dd08e43
201 Grill & Game Bar,201 Woodside Dr  Orillia ON L3V 6T4,Orillia,Restaurant,location.href = '/Facility/Details/05935729-fc24-4200-83c2-7baa44360e2d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/05935729-fc24-4200-83c2-7baa44360e2d
21FIFTY Artisan Bakery,2150 Victoria Street  Innisfil ON L9S 1K4,Innisfil,Home-Based,location.href = '/Facility/Details/183ba839-acba-45c6-b954-f4b85d0399ed' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/183ba839-acba-45c6-b954-f4b85d0399ed
24/7 Athletic Kulture,"154 Reid Drive, Units 2 & 3  Barrie ON L4N 0M4",Barrie,Snack Bar / Refreshment Stand,location.href = '/Facility/Details/3c50e2ec-f25f-4b61-8fc8-6a52f4839630' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/3c50e2ec-f25f-4b61-8fc8-6a52f4839630
3 GUYS And A Stove,143 Highway 60 E  Huntsville ON P1H 1C2,Huntsville,Restaurant,location.href = '/Facility/Details/a5fa1187-e2fd-4bcb-ad4d-567a4a4e2d65' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a5fa1187-e2fd-4bcb-ad4d-567a4a4e2d65
3 Scoops Ice Cream & General Store,11 Barrie St  Bradford West Gwillimbury ON L3Z 1R6,Bradford West Gwillimbury,Ice Cream / Yogurt Vendor,location.href = '/Facility/Details/8dcfdf74-b393-4ffc-b084-aa3ab6e21962' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/8dcfdf74-b393-4ffc-b084-aa3ab6e21962
331 Atherley Diner,331 Atherley Rd  Orillia ON L3V 1N8,Orillia,Restaurant,location.href = '/Facility/Details/efce4c59-76fc-4780-8734-d5cb2d920b8a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/efce4c59-76fc-4780-8734-d5cb2d920b8a
5 Rivers Restaurant and Bar Indian Cuisine,2-1035 Mississauga St W  Orillia ON L3V 3C7,Orillia,Restaurant,location.href = '/Facility/Details/a5447edd-56ba-414f-bce6-30f561bddf74' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a5447edd-56ba-414f-bce6-30f561bddf74
5 Star Takeaway,2 Lafontaine Rd E  Tiny ON L9M 1R3,Tiny,Food Take Out,location.href = '/Facility/Details/404c4c26-fea1-4829-8826-e23b92c0deb0' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/404c4c26-fea1-4829-8826-e23b92c0deb0
7 C Seafood,157 Holland St E  Bradford West Gwillimbury ON L3Z 1G4,Bradford,Food Take Out,location.href = '/Facility/Details/1be96ae7-8ff9-4175-b24e-65d4ee4771ff' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/1be96ae7-8ff9-4175-b24e-65d4ee4771ff
"7 Spice Fast Casual Multi-Cuisine, The",353 Duckworth St  Barrie ON L4M 5C2,Barrie,Restaurant,location.href = '/Facility/Details/74fd8b66-1354-4da7-a66d-907a4b1b2d90' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/74fd8b66-1354-4da7-a66d-907a4b1b2d90
705 Cravings,13-20 Bell Farm Rd  Barrie ON L4M 6E4,Barrie,Food Take Out,location.href = '/Facility/Details/2ba82c77-7d2e-46bd-a60b-a9ca4853b5a0' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2ba82c77-7d2e-46bd-a60b-a9ca4853b5a0
7C Grocery & Vegetables,2-157 Holland Street East  Bradford PE L3Z 1G4,Bradford,Supermarket / Grocery,location.href = '/Facility/Details/2453b5d7-ac70-460a-930a-7361eb3f1077' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2453b5d7-ac70-460a-930a-7361eb3f1077
8 Beach Fries,8-10 Main St  Wasaga Beach ON L9Z2K3,Wasaga Beach,Food Take Out,location.href = '/Facility/Details/3bc7805a-aca2-4245-a8e9-d1c159995a8d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/3bc7805a-aca2-4245-a8e9-d1c159995a8d
98 Super Panda,50 Hurontario St  Collingwood ON L9Y 2L6,Collingwood,Restaurant,location.href = '/Facility/Details/80ac5fe8-3a18-4ed6-9456-7fafa46cc25d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/80ac5fe8-3a18-4ed6-9456-7fafa46cc25d
98 Super Panda,3-30 45th St S  Wasaga Beach ON L9Z 0A6,Wasaga Beach,Restaurant,location.href = '/Facility/Details/12fd8035-7f9a-4aca-ba9f-5907b8900db5' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/12fd8035-7f9a-4aca-ba9f-5907b8900db5
A & D Birdseed Country Store,1617 County Road 42  Stayner ON L0M 1S0,Stayner,Serving Kitchen,location.href = '/Facility/Details/f9562a8f-7ae9-481a-a22c-2ab92dfec0ea' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/f9562a8f-7ae9-481a-a22c-2ab92dfec0ea
A & E Fine Foods,4992 County Rd 21  Thornton ON L0L 2N0,Essa,Food Warehouse / Depot,location.href = '/Facility/Details/66f29f50-5b73-436a-9f04-5a2d76cfb61c' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/66f29f50-5b73-436a-9f04-5a2d76cfb61c
A & L's Royal Scoop and Espresso Bar,691 River Rd E  Wasaga Beach ON L9Z 2M3,Wasaga Beach,Ice Cream / Yogurt Vendor,location.href = '/Facility/Details/f6df6ead-f462-438c-8d1a-2e07f4db6ed1' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/f6df6ead-f462-438c-8d1a-2e07f4db6ed1
A & S Beverage,2207 Industrial Park Road  Innisfil ON L9S 3V9,Innisfil,Food Take Out,location.href = '/Facility/Details/87395ea4-e73c-406f-93e1-a7a29313b832' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/87395ea4-e73c-406f-93e1-a7a29313b832
A Canadian Portuguese Joint,3-676 River Road East  Wasaga Beach ON L9Z 2M3,Wasaga Beach,Food Take Out,location.href = '/Facility/Details/98078623-0a4f-4f8a-829f-a78db519cd7b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/98078623-0a4f-4f8a-829f-a78db519cd7b
A Little Thai Kitchen,164 Napier St  Barrie ON L4M 1W5,Barrie,Food Take Out,location.href = '/Facility/Details/94a7d39b-dd0c-4fc9-82c6-2b0b1ddbfc07' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/94a7d39b-dd0c-4fc9-82c6-2b0b1ddbfc07
A Muskoka Tradition,235 Highway 169  Gravenhurst ON P1P 1R2,Gravenhurst,Ice Cream / Yogurt Vendor,location.href = '/Facility/Details/9e170c40-29b7-4655-9c19-75dc216d825e' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/9e170c40-29b7-4655-9c19-75dc216d825e
A Taste of Europe,1335 Killarney Beach Rd  Lefroy ON L0L 1W0,Lefroy,Restaurant,location.href = '/Facility/Details/9ed69da4-ef2e-4c82-9810-dcc22cfa9c23' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/9ed69da4-ef2e-4c82-9810-dcc22cfa9c23
A Taste of Freedom Country Inn,24 Mill St W  Tottenham ON L0G 1W0,Tottenham,Restaurant,location.href = '/Facility/Details/a265321f-4497-42c7-9cc8-9be224c13c4b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a265321f-4497-42c7-9cc8-9be224c13c4b
A Taste of Italy,49 Regina Blvd  Wasaga Beach ON L9Z 1M8,Wasaga Beach,Mobile Preparation Premises,location.href = '/Facility/Details/8f731032-5ff0-42bf-a320-4cef6abee22f' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/8f731032-5ff0-42bf-a320-4cef6abee22f
A Taste Of Soul,300 Balm Beach Rd W  Tiny ON L0L 2J0,Tiny,Food Take Out,location.href = '/Facility/Details/47309c72-a071-4928-a2d8-4e9902e7d546' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/47309c72-a071-4928-a2d8-4e9902e7d546
A&W,201 Fairview Rd  Barrie ON L4N 9B1,Barrie,Food Take Out,location.href = '/Facility/Details/03ca1812-ff49-4b9b-a5b9-583eb1ffef94' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/03ca1812-ff49-4b9b-a5b9-583eb1ffef94
A&W,9271 County Road  93 Midland ON L4R 4K4,Midland,Restaurant,location.href = '/Facility/Details/05642c37-66b3-4450-955a-63f7cc713267' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/05642c37-66b3-4450-955a-63f7cc713267
A&W,11-649 Yonge St  Barrie ON L4N 4E7,Barrie,Restaurant,location.href = '/Facility/Details/bb42bc6c-5cad-4d06-b8c1-681773f89fe2' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/bb42bc6c-5cad-4d06-b8c1-681773f89fe2
A&W,143 Mapleview Dr W  Barrie ON L4N 9H7,Barrie,Restaurant,location.href = '/Facility/Details/35e0028c-138e-4c33-89f8-6d883647ca88' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/35e0028c-138e-4c33-89f8-6d883647ca88
A&W,490 Bayfield St  Barrie ON L4M 5A2,Barrie,Restaurant,location.href = '/Facility/Details/e600c5a1-5d99-4a9b-aff2-7fe9daec7a01' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e600c5a1-5d99-4a9b-aff2-7fe9daec7a01
A&W,F005-509 Bayfield St  Barrie ON L4M 4Z8,Barrie,Food Take Out,location.href = '/Facility/Details/4166de11-3796-4a68-a1dc-2628f1a5caeb' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/4166de11-3796-4a68-a1dc-2628f1a5caeb
A&W,305 Mill St  Angus ON L0L 1B4,Angus,Restaurant,location.href = '/Facility/Details/ad319846-e0e4-4259-aa68-3a8485d0ead9' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ad319846-e0e4-4259-aa68-3a8485d0ead9
A&W,577 Holland St W  Bradford ON L3Z 0C1,Bradford,Restaurant,location.href = '/Facility/Details/6cf41566-3bc6-47b8-9b36-144df9655212' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6cf41566-3bc6-47b8-9b36-144df9655212
A&W,3315 Monarch Dr  Orillia ON L3V 7Z4,Orillia,Restaurant,location.href = '/Facility/Details/838596d0-252d-4189-a030-0528521e79c7' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/838596d0-252d-4189-a030-0528521e79c7
A&W,"3535 ON-89, Cookstown  ON L0L 1L0",Cookstown,Food Take Out,location.href = '/Facility/Details/c13e0347-809e-4bbf-9af3-05fa5bfc1b8c' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/c13e0347-809e-4bbf-9af3-05fa5bfc1b8c
A&W,175 Cundles Rd E  Barrie ON L4M 4X7,Barrie,Food Take Out,location.href = '/Facility/Details/b4417e64-054d-45ba-8476-9cf51d5b0c57' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b4417e64-054d-45ba-8476-9cf51d5b0c57
A&W,10 Dunham Dr  Alliston ON L9R 1V2,Alliston,Restaurant,location.href = '/Facility/Details/c13df474-a0a4-400c-89cb-a07baf1b13f7' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/c13df474-a0a4-400c-89cb-a07baf1b13f7
A&W,705-175 Hanes Rd  Huntsville ON P1H 1M4,Huntsville,Restaurant,location.href = '/Facility/Details/b4ab9909-3270-407f-b0b4-c771dd57b00c' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b4ab9909-3270-407f-b0b4-c771dd57b00c
A&W,120 Queen St N  Tottenham ON L0G 1W0,Tottenham,Restaurant,location.href = '/Facility/Details/70777b11-1f7d-40ca-be80-e1b64f6c7e01' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/70777b11-1f7d-40ca-be80-e1b64f6c7e01
A&W,67 45th St. S  Wasaga Beach ON L9Z 1A7,Wasaga Beach,Restaurant,location.href = '/Facility/Details/d1d9e4db-216c-4b11-a9ce-cfafb84cfca8' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/d1d9e4db-216c-4b11-a9ce-cfafb84cfca8
A&W,14 Depot Dr  Bracebridge ON P1L 0A1,Bracebridge,Restaurant,location.href = '/Facility/Details/492e3602-30a6-487e-b294-db0267a65640' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/492e3602-30a6-487e-b294-db0267a65640
A&W,110 Fountain St  Gravenhurst ON P1P 0H3,Gravenhurst,Food Take Out,location.href = '/Facility/Details/ce5dfa0d-4409-47b8-9ea1-fc2a936be3d8' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ce5dfa0d-4409-47b8-9ea1-fc2a936be3d8
A&W,661 Atherley Rd  Orillia ON L3V 1P1,Orillia,Restaurant,location.href = '/Facility/Details/b5bb8bad-69b5-4579-8512-efb7bc388f9e' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b5bb8bad-69b5-4579-8512-efb7bc388f9e
A&W,7 Balsam St  Collingwood ON L9Y 5H6,Collingwood,Restaurant,location.href = '/Facility/Details/7e52a360-1f6c-488e-94e7-f09267a8173c' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/7e52a360-1f6c-488e-94e7-f09267a8173c
A1 South Asian Grocery and Food Center,5A-477 Grove St E  Barrie ON L4M 6M3,Adjala-Tosorontio,Supermarket / Grocery,location.href = '/Facility/Details/ba9ae66e-deba-47ca-9c53-093824dc1284' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ba9ae66e-deba-47ca-9c53-093824dc1284
Abbey Johnston,202 Jane Street  Stayner ON L0M 1S0,Stayner,Bakery,location.href = '/Facility/Details/b3a0488f-4bb0-4ecf-823c-c738a6b8fdce' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b3a0488f-4bb0-4ecf-823c-c738a6b8fdce
Abbey's Bake House,1040 Juddhaven Rd  Minett ON P0B 1G0,Minett,Bakery,location.href = '/Facility/Details/c83ea1c9-09e2-4f50-8d52-18c7a6fb5da4' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/c83ea1c9-09e2-4f50-8d52-18c7a6fb5da4
Abbey's Bakehouse Church,1112 Juddhaven Rd  Minett ON P0B 1G0,Minett,Bakery,location.href = '/Facility/Details/4def617e-c951-4cc2-a5fc-2bd26a48def2' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/4def617e-c951-4cc2-a5fc-2bd26a48def2
Abrisham Restaurant,6-126 Bridge St  Bradford ON L3Z 3H2,Bradford,Restaurant,location.href = '/Facility/Details/f0f6e5ee-7b02-48ff-abc5-10fe478f0965' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/f0f6e5ee-7b02-48ff-abc5-10fe478f0965
Addae Cares,7 Queen St W  Elmvale ON L0L 1P0,Elmvale,Child Care - Catered,location.href = '/Facility/Details/cc7f935c-9fdd-4955-98dd-5ab1d77e2f38' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/cc7f935c-9fdd-4955-98dd-5ab1d77e2f38
ADH Enterprises,2207 Industrial Park Road  Innisfil ON L9S 3V9,Innisfil,Food Take Out,location.href = '/Facility/Details/272c31ca-53c6-474b-b7d1-fe0166604e26' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/272c31ca-53c6-474b-b7d1-fe0166604e26
Adjala Central Public School,9091 County Rd 1  Loretto ON L0G 1L0,Loretto,Student Nutrition Program,location.href = '/Facility/Details/fa460834-e871-400a-873a-181b4f174feb' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/fa460834-e871-400a-873a-181b4f174feb
Adjala Child Care,9091 County Rd 1  Loretto ON L0G 1L0,Adjala-Tosorontio,Child Care - School Age Program,location.href = '/Facility/Details/b32365d8-21ed-40bd-ad86-079e7d825184' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b32365d8-21ed-40bd-ad86-079e7d825184
Adjala-Tosorontio Municipal Office,7855 Sideroad 30  Alliston ON L9R 1V1,Adjala-Tosorontio,Serving Kitchen,location.href = '/Facility/Details/25f728da-f679-46c9-988c-5e7654df2e49' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/25f728da-f679-46c9-988c-5e7654df2e49
