Inspection Date,Inspection Type,url_inspection,url_inspection_full,url_entity_full
09/01/2023,Follow-up,location.href = '/Portal/Inspection/Details/04a060e9-85fb-44c3-a3f2-642dfe4bcf76' ,https://healthinspect.ca/Portal/Inspection/Details/04a060e9-85fb-44c3-a3f2-642dfe4bcf76,https://healthinspect.ca/Portal/Facility/Details/37354ac2-e351-40c4-9737-a98fe94cfe5a
08/25/2023,Required,location.href = '/Portal/Inspection/Details/c9458d0c-c11e-44a9-b43b-03773873740e' ,https://healthinspect.ca/Portal/Inspection/Details/c9458d0c-c11e-44a9-b43b-03773873740e,https://healthinspect.ca/Portal/Facility/Details/37354ac2-e351-40c4-9737-a98fe94cfe5a
04/27/2023,Required,location.href = '/Portal/Inspection/Details/ba12e877-5228-48cc-9269-aed05970623e' ,https://healthinspect.ca/Portal/Inspection/Details/ba12e877-5228-48cc-9269-aed05970623e,https://healthinspect.ca/Portal/Facility/Details/37354ac2-e351-40c4-9737-a98fe94cfe5a
12/06/2022,Required,location.href = '/Portal/Inspection/Details/0ef2825b-ff63-4a93-aeb6-0d46faabc5d1' ,https://healthinspect.ca/Portal/Inspection/Details/0ef2825b-ff63-4a93-aeb6-0d46faabc5d1,https://healthinspect.ca/Portal/Facility/Details/37354ac2-e351-40c4-9737-a98fe94cfe5a
08/31/2022,Required,location.href = '/Portal/Inspection/Details/4d46be49-59e2-49bb-b002-13e5b6ea190f' ,https://healthinspect.ca/Portal/Inspection/Details/4d46be49-59e2-49bb-b002-13e5b6ea190f,https://healthinspect.ca/Portal/Facility/Details/37354ac2-e351-40c4-9737-a98fe94cfe5a
04/21/2022,Required,location.href = '/Portal/Inspection/Details/e0098c56-34b9-4d78-9440-3b2fb45e0826' ,https://healthinspect.ca/Portal/Inspection/Details/e0098c56-34b9-4d78-9440-3b2fb45e0826,https://healthinspect.ca/Portal/Facility/Details/37354ac2-e351-40c4-9737-a98fe94cfe5a
09/29/2023,Required,location.href = '/Portal/Inspection/Details/8e7c1788-b550-45fd-9583-cb8780b45d30' ,https://healthinspect.ca/Portal/Inspection/Details/8e7c1788-b550-45fd-9583-cb8780b45d30,https://healthinspect.ca/Portal/Facility/Details/51c66f0e-d69d-4755-b88f-d4a1587e06d9
01/12/2023,Required,location.href = '/Portal/Inspection/Details/f6e9a063-f822-4cd8-8509-6c60788d7969' ,https://healthinspect.ca/Portal/Inspection/Details/f6e9a063-f822-4cd8-8509-6c60788d7969,https://healthinspect.ca/Portal/Facility/Details/51c66f0e-d69d-4755-b88f-d4a1587e06d9
11/24/2022,Required,location.href = '/Portal/Inspection/Details/82481772-930f-444e-83ed-94de45de245c' ,https://healthinspect.ca/Portal/Inspection/Details/82481772-930f-444e-83ed-94de45de245c,https://healthinspect.ca/Portal/Facility/Details/51c66f0e-d69d-4755-b88f-d4a1587e06d9
05/19/2022,Follow-up,location.href = '/Portal/Inspection/Details/aadfb2c9-19d1-417e-9b15-ad8158c858f3' ,https://healthinspect.ca/Portal/Inspection/Details/aadfb2c9-19d1-417e-9b15-ad8158c858f3,https://healthinspect.ca/Portal/Facility/Details/51c66f0e-d69d-4755-b88f-d4a1587e06d9
05/05/2022,Required,location.href = '/Portal/Inspection/Details/a0b8a52d-ac1c-4f7e-84ff-2463256bf1d9' ,https://healthinspect.ca/Portal/Inspection/Details/a0b8a52d-ac1c-4f7e-84ff-2463256bf1d9,https://healthinspect.ca/Portal/Facility/Details/51c66f0e-d69d-4755-b88f-d4a1587e06d9
01/06/2023,Follow-up,location.href = '/Portal/Inspection/Details/62b0a4de-030d-4bfb-966e-90be887b14c6' ,https://healthinspect.ca/Portal/Inspection/Details/62b0a4de-030d-4bfb-966e-90be887b14c6,https://healthinspect.ca/Portal/Facility/Details/aefb2dca-f6e3-4f7e-95d9-5ddd8b58a476
01/05/2023,Required,location.href = '/Portal/Inspection/Details/d0c9bc62-0fe8-4a0e-8998-ceda96430b5f' ,https://healthinspect.ca/Portal/Inspection/Details/d0c9bc62-0fe8-4a0e-8998-ceda96430b5f,https://healthinspect.ca/Portal/Facility/Details/aefb2dca-f6e3-4f7e-95d9-5ddd8b58a476
03/22/2022,Required,location.href = '/Portal/Inspection/Details/185dca26-b181-4634-b593-9ce9ff7a3d2d' ,https://healthinspect.ca/Portal/Inspection/Details/185dca26-b181-4634-b593-9ce9ff7a3d2d,https://healthinspect.ca/Portal/Facility/Details/5a82bf2c-c1d5-404a-9993-0017cd645fa9
08/17/2023,Required,location.href = '/Portal/Inspection/Details/3b8966fb-6d57-42b8-a9be-210a6d4f5a7d' ,https://healthinspect.ca/Portal/Inspection/Details/3b8966fb-6d57-42b8-a9be-210a6d4f5a7d,https://healthinspect.ca/Portal/Facility/Details/081ef2dc-535a-4d70-926f-2fef578289bc
04/27/2023,Required,location.href = '/Portal/Inspection/Details/2a419fec-80f3-4f53-8ab8-d7c1b19f9938' ,https://healthinspect.ca/Portal/Inspection/Details/2a419fec-80f3-4f53-8ab8-d7c1b19f9938,https://healthinspect.ca/Portal/Facility/Details/081ef2dc-535a-4d70-926f-2fef578289bc
03/15/2023,Required,location.href = '/Portal/Inspection/Details/8d4ed6a2-a246-4943-8f8b-795f9bb161ca' ,https://healthinspect.ca/Portal/Inspection/Details/8d4ed6a2-a246-4943-8f8b-795f9bb161ca,https://healthinspect.ca/Portal/Facility/Details/d1af0c04-f860-4989-af45-9db3286e7383
08/25/2022,Required,location.href = '/Portal/Inspection/Details/731fc7ec-db40-43de-8fa2-ca9488a1c9fb' ,https://healthinspect.ca/Portal/Inspection/Details/731fc7ec-db40-43de-8fa2-ca9488a1c9fb,https://healthinspect.ca/Portal/Facility/Details/d1af0c04-f860-4989-af45-9db3286e7383
05/17/2023,Required,location.href = '/Portal/Inspection/Details/fddd56fa-efa4-4306-a7cb-ea410811c582' ,https://healthinspect.ca/Portal/Inspection/Details/fddd56fa-efa4-4306-a7cb-ea410811c582,https://healthinspect.ca/Portal/Facility/Details/bf936b2c-ce45-419d-85d5-1d000aed6113
