url_inspection_full,inspection_results,actions_taken
https://healthinspect.ca/Portal/Inspection/Details/04a060e9-85fb-44c3-a3f2-642dfe4bcf76,"Equipment, utensils and multi-service articles maintenance Corrected During Inspection
Temperature control for storage of potentially hazardous foods NO","Certified Foodhandler On Site
Report Reviewed - Action Required"
https://healthinspect.ca/Portal/Inspection/Details/c9458d0c-c11e-44a9-b43b-03773873740e,"Sanitary facilities maintenance
ensure sanitary facilities are kept sanitary, properly equipped and in good repair at all times
NO
Equipment, utensils and multi-service articles maintenance
ensure that all equipment, utensils and multi-service articles are of sound, tight construction, kept in good repair, capable of being cleaned and sanitized, and suitable for its intended purpose
NO
Temperature control for storage of potentially hazardous foods NO
All food is processed in a manner that makes the food safe to eat
ensure food is processed in a manner that makes the food safe to eat
Corrected During Inspection
Food protected from contamination and adulteration
ensure all food is protected from contamination and adulteration
Corrected During Inspection","Certified Foodhandler On Site
Report Reviewed - Action Required"
https://healthinspect.ca/Portal/Inspection/Details/ba12e877-5228-48cc-9269-aed05970623e,No results to show,"Satisfactory - No Action Required
Certified Foodhandler On Site"
https://healthinspect.ca/Portal/Inspection/Details/0ef2825b-ff63-4a93-aeb6-0d46faabc5d1,"Equipment, utensils and multi-service articles maintenance
ensure that all equipment, utensils and multi-service articles are of sound, tight construction, kept in good repair, capable of being cleaned and sanitized, and suitable for its intended purpose
NO
Food premises maintenance
ensure that garbage and wastes, including liquid wastes, are collected and removed as often as is necessary to maintain the premises in a sanitary condition
NO","Certified Foodhandler On Site
Report Reviewed - Action Required"
https://healthinspect.ca/Portal/Inspection/Details/4d46be49-59e2-49bb-b002-13e5b6ea190f,"Temperature control for storage of potentially hazardous foods
ensure potentially hazardous foods are stored at 4°C and lower
NO
Acceptable sanitizing method and testing
ensure that the method of sanitization is appropriate.
Corrected During Inspection
Equipment, utensils and multi-service articles maintenance
ensure that all equipment, utensils and multi-service articles are of sound, tight construction, kept in good repair, capable of being cleaned and sanitized, and suitable for its intended purpose
NO
Food premises maintenance
ensure that the floor or floor coverings are tight, smooth and non-absorbent in rooms where food is handled or stored, utensils are cleaned, or in washrooms
ensure that walls and ceilings of rooms and passageways are readily cleanable and maintained in a sanitary condition
ensure that the ventilation system is maintained to provide for the elimination of odours, fumes, vapours, smoke and excessive heat
NO
Sanitary facilities maintenance
ensure sanitary facilities are kept sanitary, properly equipped and in good repair at all times
ensure sanitary facilities are equipped with: constant supply of hot and cold running water, supply of toilet paper, durable easy-to-clean receptacle for used towels and other waste, a supply of soap or detergent, and a method of hand drying that uses single-service towels or a hot air dryer
NO",Report Reviewed - Action Required
https://healthinspect.ca/Portal/Inspection/Details/e0098c56-34b9-4d78-9440-3b2fb45e0826,"Equipment, utensils and multi-service articles maintenance
ensure that all equipment, utensils and multi-service articles are of sound, tight construction, kept in good repair, capable of being cleaned and sanitized, and suitable for its intended purpose
NO","Certified Foodhandler On Site
Report Reviewed - Action Required"
https://healthinspect.ca/Portal/Inspection/Details/8e7c1788-b550-45fd-9583-cb8780b45d30,No results to show,"Satisfactory - No Action Required
Certified Foodhandler On Site"
https://healthinspect.ca/Portal/Inspection/Details/f6e9a063-f822-4cd8-8509-6c60788d7969,No results to show,"Satisfactory - No Action Required
Certified Foodhandler On Site"
https://healthinspect.ca/Portal/Inspection/Details/82481772-930f-444e-83ed-94de45de245c,"Food premises maintenance
ensure that walls and ceilings of rooms and passageways are readily cleanable and maintained in a sanitary condition
ensure every room is kept free from materials and equipment not regularly used in the room
ensure that furniture, equipment and appliances are so constructed and arranged as to permit thorough cleaning
NO
Food premises provided with adequate access to potable water
ensure that handwashing stations are maintained, adequately supplied and used solely for handwashing
Corrected During Inspection
Food protected from contamination and adulteration
ensure all food is protected from contamination and adulteration
NO
Storage of food
ensure that racks, shelves, or pallets used to store foods are designed to protect the food from contamination and are easily cleanable
store foods off the floor
NO
Acceptable sanitizing method and testing
ensure that the method of sanitization is appropriate.
provide a test reagent for determining the concentration of sanitizer where the sanitizing operation takes place
NO","Report Reviewed - Action Required
Food Handler Education on Site"
https://healthinspect.ca/Portal/Inspection/Details/aadfb2c9-19d1-417e-9b15-ad8158c858f3,No results to show,"Satisfactory - No Action Required
Certified Foodhandler On Site"
https://healthinspect.ca/Portal/Inspection/Details/a0b8a52d-ac1c-4f7e-84ff-2463256bf1d9,"Temperature control for storage of potentially hazardous foods
ensure that during the preparation, processing and manufacturing of potentially hazardous foods, they are not at a temperature between 4°C and 60°C for greater than two hours
Corrected During Inspection
Food premises provided with adequate access to potable water
ensure that handwashing stations are maintained, adequately supplied and used solely for handwashing
Corrected During Inspection
Food premises free of conditions that attract pests
ensure premises free from conditions that could lead to the harbouring or breeding of pests.
NO","Certified Foodhandler On Site
Report Reviewed - Action Required"
https://healthinspect.ca/Portal/Inspection/Details/62b0a4de-030d-4bfb-966e-90be887b14c6,Storage of food NO,Report Reviewed - Action Required
https://healthinspect.ca/Portal/Inspection/Details/d0c9bc62-0fe8-4a0e-8998-ceda96430b5f,"Storage of food
ensure refrigeration or hot-holding equipment used to store potentially hazardous foods contain indicating easy-to-read thermometers
NO
Food from approved sources
ensure that all food is from an approved source
NO
Food purchase records
ensure that records of the purchase of foods are retained on site for at least one year from the date of purchase
NO",Report Reviewed - Action Required
https://healthinspect.ca/Portal/Inspection/Details/185dca26-b181-4634-b593-9ce9ff7a3d2d,No results to show,"Satisfactory - No Action Required
Certified Foodhandler On Site
Opening Inspection"
https://healthinspect.ca/Portal/Inspection/Details/3b8966fb-6d57-42b8-a9be-210a6d4f5a7d,"Food protected from contamination and adulteration
ensure all food is protected from contamination and adulteration
NO
Food premises operation general
ensure premises is free from conditions that may: be a health hazard, adversely affect the sanitary operation of the premises, or adversely affect the wholesomeness of the food
NO","Certified Foodhandler On Site
Report Reviewed - Action Required"
https://healthinspect.ca/Portal/Inspection/Details/2a419fec-80f3-4f53-8ab8-d7c1b19f9938,"Food premises operation general
ensure premises is free from conditions that may: be a health hazard, adversely affect the sanitary operation of the premises, or adversely affect the wholesomeness of the food
NO","Certified Foodhandler On Site
Report Reviewed - Action Required
Food Handler Education on Site"
https://healthinspect.ca/Portal/Inspection/Details/8d4ed6a2-a246-4943-8f8b-795f9bb161ca,"Mechanical dishwasher operation and maintenance
provide easy-to-read thermometers that accurately show wash and rinse temperatures
NO","Certified Foodhandler On Site
Report Reviewed - Action Required"
https://healthinspect.ca/Portal/Inspection/Details/731fc7ec-db40-43de-8fa2-ca9488a1c9fb,"Mechanical dishwasher operation and maintenance
provide easy-to-read thermometers that accurately show wash and rinse temperatures
NO","Certified Foodhandler On Site
Report Reviewed - Action Required"
https://healthinspect.ca/Portal/Inspection/Details/fddd56fa-efa4-4306-a7cb-ea410811c582,"Acceptable sanitizing method and testing
provide a test reagent for determining the concentration of sanitizer where the sanitizing operation takes place
NO",Report Reviewed - Action Required
