Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Services Inspected,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
2 Legged Bear Mobile Food Cart - Mobile Food Cart,25965 Hwy 540  Meldrum Bay ON P0P 1R0,Food Take Out,,location.href = '/Facility/Details/feed83f5-b56d-4ffc-873f-392903d4b9e5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/feed83f5-b56d-4ffc-873f-392903d4b9e5
3 Cows & A Cone,64 Meredith Street East  Little Current ON P0P 1K0,Food Take Out,26-Mar-2024,location.href = '/Facility/Details/63aab2ae-9bb1-4d4c-83f9-70918eb6deff' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/63aab2ae-9bb1-4d4c-83f9-70918eb6deff
3 Cows Fries,64 Meredith Street East  Little Current ON P0P 1K0,Food Take Out,01-May-2024,location.href = '/Facility/Details/b3899bdf-157e-42af-a46b-ccedd5d9edcb' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b3899bdf-157e-42af-a46b-ccedd5d9edcb
5 Fish Resort & Marina,25 Whippoorwill Rd  Alban ON P0M 1A0,Food Store (Convenience / Variety),12-Jun-2023,location.href = '/Facility/Details/9a20f36c-5a2d-4e5e-a08b-47d06af64976' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9a20f36c-5a2d-4e5e-a08b-47d06af64976
540 Ends General Store - Food Store/Variety,25965 Highway 540  Meldrum Bay ON P0P 1R0,Food Store (Convenience / Variety),24-Jul-2023,location.href = '/Facility/Details/9d58f39e-efa0-48fe-931b-c910269b8602' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9d58f39e-efa0-48fe-931b-c910269b8602
621 Lagace Convinience,621 Notre Dame Avenue  Sudbury ON P3C 5L4,Food Store (Convenience / Variety),14-Aug-2023,location.href = '/Facility/Details/f9a9fcfc-8d1a-4c32-849f-650169414cc7' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f9a9fcfc-8d1a-4c32-849f-650169414cc7
7 Star Dumpling House,1-1355 Regent St  Sudbury ON P3E 3Z1,Restaurant,29-Jan-2024,location.href = '/Facility/Details/48e1c213-9650-484e-a5fc-ef241135692c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/48e1c213-9650-484e-a5fc-ef241135692c
7 Star Dumpling House,1899 Lasalle Boulevard  Sudbury ON P3A 2A3,Restaurant,04-Apr-2024,location.href = '/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0
705 Foods,269 Levesque Street  Sudbury ON P3B 3T3,Food Warehouse / Depot,12-Mar-2024,location.href = '/Facility/Details/bd8a295a-33f8-4be3-adc0-3db31224d56f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/bd8a295a-33f8-4be3-adc0-3db31224d56f
705Pita+,1299 Marcus Drive  Sudbury ON P3B 4K6,Restaurant,30-Apr-2024,location.href = '/Facility/Details/71f2ec4c-ee58-4dca-8688-2a99e13b0a9f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/71f2ec4c-ee58-4dca-8688-2a99e13b0a9f
84 Station,84 Elgin Street  Sudbury ON P3E 3N3,Cocktail Bar / Beverage Room,01-Dec-2023,location.href = '/Facility/Details/57af5646-76cd-412a-b165-d46caf9c853b' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/57af5646-76cd-412a-b165-d46caf9c853b
A & W,803 Centre Street  Espanola Ontario P5E 1T3,Restaurant,16-Jan-2024,location.href = '/Facility/Details/cee9bf7b-8390-4b4f-9ee8-12cedf82278a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/cee9bf7b-8390-4b4f-9ee8-12cedf82278a
A & W,1099 Marcus Drive  Sudbury ON P3B 4K6,Restaurant,19-Jan-2024,location.href = '/Facility/Details/31c2329e-5358-4286-a5a1-359daaac70b1' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/31c2329e-5358-4286-a5a1-359daaac70b1
A & W,2404 Long Lake Road  Sudbury ON P3E 5H5,Restaurant,20-Mar-2024,location.href = '/Facility/Details/27515450-92bd-4b2f-b8cf-55e7f2b253d7' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/27515450-92bd-4b2f-b8cf-55e7f2b253d7
A & W,1380 Lasalle Boulevard  Sudbury ON P3A 1Z6,Restaurant,04-Apr-2024,location.href = '/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
A & W,1349 Lasalle Boulevard  Sudbury ON P3A 1Z2,Food Take Out,12-Feb-2024,location.href = '/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241
A & W,3080 Highway 69 North  Val Caron ON P3N 1R8,Restaurant,21-Feb-2024,location.href = '/Facility/Details/5f537b70-c542-471f-90e5-9be7db51adbf' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5f537b70-c542-471f-90e5-9be7db51adbf
A & W,3672 Highway 144  Chelmsford ON P0M 1L0,Restaurant,05-Apr-2024,location.href = '/Facility/Details/e3bca2a3-01ab-4132-a3f8-a7a3755ea5be' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/e3bca2a3-01ab-4132-a3f8-a7a3755ea5be
A&L Family Diner,12-145 Regional Road 24  Lively ON P3Y 1J1,Restaurant,25-Mar-2024,location.href = '/Facility/Details/4b19bcde-64d2-4625-acaa-831deb0cc2eb' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4b19bcde-64d2-4625-acaa-831deb0cc2eb
A.B. Ellis Public School,164 Mead Boulevard  Espanola ON P5E 1S3,School Nourishment Program,25-Oct-2023,location.href = '/Facility/Details/b543f80e-78f1-4f23-8e1e-2adcf19ca33b' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b543f80e-78f1-4f23-8e1e-2adcf19ca33b
Abbies Kitchen & Event Planner,150-40 Elm Street  Greater Sudbury ON P3C 1S8,Food Take Out,02-Apr-2024,location.href = '/Facility/Details/1f380937-d404-4429-8edd-aefbf79d5b4f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1f380937-d404-4429-8edd-aefbf79d5b4f
Aboriginal Peoples Alliance Northern Ontario,152 Durham St  Sudbury ON P3E 3M9,Community Kitchen Meal Program,16-Nov-2023,location.href = '/Facility/Details/ebda13fe-f485-49ed-b0f7-5d94a343a371' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ebda13fe-f485-49ed-b0f7-5d94a343a371
Access Network,111 Larch Street  Sudbury ON P3E 1T5,Food Bank,01-Dec-2023,location.href = '/Facility/Details/b4514b08-2c7f-4bc3-91e0-63951bbdb809' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b4514b08-2c7f-4bc3-91e0-63951bbdb809
Adamsdale Public School,181 1st Ave  Sudbury ON P3B 3L3,School Nourishment Program,11-Dec-2023,location.href = '/Facility/Details/b2fd19e0-6a43-4ef1-89f3-12b2ff19ea27' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b2fd19e0-6a43-4ef1-89f3-12b2ff19ea27
