Inspection Date,Inspection Type,url_inspection,url_inspection_full,url_entity_full
26-Mar-2024,Required,location.href = '/Inspection/Details/6a1a4412-47e6-43c1-a11e-bf3b67793660' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/6a1a4412-47e6-43c1-a11e-bf3b67793660,https://checkbeforeyougo.phsd.ca/Facility/Details/63aab2ae-9bb1-4d4c-83f9-70918eb6deff
26-Jun-2023,Required,location.href = '/Inspection/Details/1d99b982-41b9-453c-aa0a-e17f2d54f49e' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/1d99b982-41b9-453c-aa0a-e17f2d54f49e,https://checkbeforeyougo.phsd.ca/Facility/Details/63aab2ae-9bb1-4d4c-83f9-70918eb6deff
12-Jun-2022,Required,location.href = '/Inspection/Details/8c078d5e-0c80-405d-9dc2-b62ce3398738' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/8c078d5e-0c80-405d-9dc2-b62ce3398738,https://checkbeforeyougo.phsd.ca/Facility/Details/63aab2ae-9bb1-4d4c-83f9-70918eb6deff
12-May-2022,Required,location.href = '/Inspection/Details/a9149d3e-b624-42c0-89c9-89b11a5590e7' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/a9149d3e-b624-42c0-89c9-89b11a5590e7,https://checkbeforeyougo.phsd.ca/Facility/Details/63aab2ae-9bb1-4d4c-83f9-70918eb6deff
01-May-2024,Required,location.href = '/Inspection/Details/929587b5-765a-45de-9663-ed1012f66f33' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/929587b5-765a-45de-9663-ed1012f66f33,https://checkbeforeyougo.phsd.ca/Facility/Details/b3899bdf-157e-42af-a46b-ccedd5d9edcb
18-May-2023,Required,location.href = '/Inspection/Details/ae434635-3975-4891-9577-bfe1313f5696' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/ae434635-3975-4891-9577-bfe1313f5696,https://checkbeforeyougo.phsd.ca/Facility/Details/b3899bdf-157e-42af-a46b-ccedd5d9edcb
12-May-2022,Required,location.href = '/Inspection/Details/89877d55-dbd5-4dc0-b866-b8d271f75633' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/89877d55-dbd5-4dc0-b866-b8d271f75633,https://checkbeforeyougo.phsd.ca/Facility/Details/b3899bdf-157e-42af-a46b-ccedd5d9edcb
12-May-2022,Required,location.href = '/Inspection/Details/d611bc73-6a1e-4be2-9d2c-9bca0d6284d1' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/d611bc73-6a1e-4be2-9d2c-9bca0d6284d1,https://checkbeforeyougo.phsd.ca/Facility/Details/b3899bdf-157e-42af-a46b-ccedd5d9edcb
12-Jun-2023,Required,location.href = '/Inspection/Details/7f19153a-0d15-4db4-8b92-fdc7cbd9cae2' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/7f19153a-0d15-4db4-8b92-fdc7cbd9cae2,https://checkbeforeyougo.phsd.ca/Facility/Details/9a20f36c-5a2d-4e5e-a08b-47d06af64976
24-Jul-2023,Required,location.href = '/Inspection/Details/11fc3a29-5f2f-4493-8e2e-38a6dee7167b' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/11fc3a29-5f2f-4493-8e2e-38a6dee7167b,https://checkbeforeyougo.phsd.ca/Facility/Details/9d58f39e-efa0-48fe-931b-c910269b8602
