Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Risk Rating,Type,Offense,Enforcement,Date Issued,Date Of Conviction,url_entity_full
Seed - Guelph Community Health Centre (The),20 Shelldale Crescent  Guelph ON N1H 1C8,Community Kitchen,22-Feb-2024,location.href = '/Facility/Details/d2688251-2c7f-4a7c-bbfa-81b51af4eae0' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d2688251-2c7f-4a7c-bbfa-81b51af4eae0
10C Shared Space,42 Carden St  Guelph ON N1H 3A2,Community Kitchen,05-Apr-2024,location.href = '/Facility/Details/bc678f2a-db38-40d6-9581-1a00c4947d51' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/bc678f2a-db38-40d6-9581-1a00c4947d51
2 Queens Café,48 Victoria Rd S  Guelph ON N1E 5P6,Restaurant,14-Mar-2024,location.href = '/Facility/Details/22c81876-c467-4cb5-899a-4af1673caeaf' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/22c81876-c467-4cb5-899a-4af1673caeaf
2-4-1 Pizza,50 Fourth Ave  Orangeville ON L9W 4P1,Food Take Out,14-Feb-2024,location.href = '/Facility/Details/cb5e045d-8af4-42f6-807a-7ecebc237940' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/cb5e045d-8af4-42f6-807a-7ecebc237940
3B2 Bites,735 Industrial Rd  Shelburne ON L0N 1S4,Mobile Preparation Premises,04-May-2023,location.href = '/Facility/Details/e743986b-ea55-4a8e-9dcb-b7e1dfcaa559' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/e743986b-ea55-4a8e-9dcb-b7e1dfcaa559
3Gen Organics,7875 4 Line  Wallenstein ON N0B 2S0,Supermarket,13-Jun-2023,location.href = '/Facility/Details/cfd1f608-fec1-4eaa-bd85-864d00d8000c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/cfd1f608-fec1-4eaa-bd85-864d00d8000c
6ixty Wings,66 Broadway  Orangeville ON L9W 1J8,Food Take Out,13-Feb-2024,location.href = '/Facility/Details/90079f65-2584-489e-927f-e22dd1c85d6d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/90079f65-2584-489e-927f-e22dd1c85d6d
7-Eleven Food Store,268 Broadway  Orangeville ON L9W 1K8,Convenience / Variety,14-Mar-2023,location.href = '/Facility/Details/cd60fe6a-27f1-43a7-bb2f-2b9fadd7b47a' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/cd60fe6a-27f1-43a7-bb2f-2b9fadd7b47a
7-Eleven Food Store,328 Speedvale Ave E  Guelph ON N1H 1N5,Convenience / Variety,03-Jan-2024,location.href = '/Facility/Details/190adbb8-3786-4042-ba31-25c8b4a5aeb3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/190adbb8-3786-4042-ba31-25c8b4a5aeb3
7-Eleven Food Store,585 Eramosa Rd  Guelph ON N1E 2N4,Convenience / Variety,01-Jun-2023,location.href = '/Facility/Details/1abf5417-b973-42b4-834b-023f50405446' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1abf5417-b973-42b4-834b-023f50405446
