Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
14th Coffee Co.,14451 14th Concession Rd Essex ON N8M 2X6,Packaging Plant,12-Jan-2023,location.href = '/disclosure/Facility/Details/1f225db1-687f-4c30-bd99-2e951a0052a3' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/1f225db1-687f-4c30-bd99-2e951a0052a3
206 Roasters,9 Johnson Ave Leamington ON N8H 3T5,Food Depot,09-Nov-2023,location.href = '/disclosure/Facility/Details/0d7c6dd4-9c64-4a67-9c4c-711cc9cb0e32' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/0d7c6dd4-9c64-4a67-9c4c-711cc9cb0e32
2-4-1 Pizza,61 Talbot St E Leamington ON N8H 1L1,Restaurant (Fast Food),23-Feb-2024,location.href = '/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
29 Park,29 Park St W Windsor ON N9A 5T4,Cocktail Bar/Beverage Room,17-Nov-2023,location.href = '/disclosure/Facility/Details/5267b6b0-8ed4-48e8-8ad9-022d9754bd7d' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/5267b6b0-8ed4-48e8-8ad9-022d9754bd7d
3 Dog Poutinerie,575 Heritage Rd Kingsville ON N9Y 3B1,Mobile Food Premises,08-Sep-2023,location.href = '/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
313 Convenience,920 University Ave W Windsor ON N9A 5S2,Convenience/Variety Store,08-Jan-2024,location.href = '/disclosure/Facility/Details/da8e0e17-b964-4791-8031-6081970882c3' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/da8e0e17-b964-4791-8031-6081970882c3
3D Buffet Show Pieces,7258 Essex County Road 50 Amherstburg ON N0R 1G0,Caterer,08-Dec-2023,location.href = '/disclosure/Facility/Details/51e685f0-10d9-4f4e-a94f-4755c3fbce17' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/51e685f0-10d9-4f4e-a94f-4755c3fbce17
4 M's Foods Inc.,1-2651 Howard Ave Windsor ON N8X 4Z3,Food Take Out,05-Dec-2023,location.href = '/disclosure/Facility/Details/e8bfd6c2-520f-43df-a402-390c1e284d95' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/e8bfd6c2-520f-43df-a402-390c1e284d95
4 Seasons Meats,3835 Howard Ave Windsor ON N9E 3N8,Butcher Shop,28-Feb-2024,location.href = '/disclosure/Facility/Details/fb174bd6-f722-40f3-b424-35c1c1393434' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/fb174bd6-f722-40f3-b424-35c1c1393434
4 Seasons Mediterranean Market,3835 Howard Ave Windsor ON N9E 3N8,Grocery Store/Supermarket,26-Feb-2024,location.href = '/disclosure/Facility/Details/157b9328-62b4-4860-b802-3de456d73feb' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/157b9328-62b4-4860-b802-3de456d73feb
