Inspection Type,Inspection Date,url_inspection,url_inspection_full,url_entity_full
Required,12-Jan-2023,location.href = '/disclosure/Inspection/Details/60815e2e-fb34-4384-8961-1151f1cc7259' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/60815e2e-fb34-4384-8961-1151f1cc7259,https://disclosure55.wechu.org/disclosure/Facility/Details/1f225db1-687f-4c30-bd99-2e951a0052a3
Required,09-Nov-2023,location.href = '/disclosure/Inspection/Details/80aceda4-04d5-4c09-a0a7-be38ca6bcbb5' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/80aceda4-04d5-4c09-a0a7-be38ca6bcbb5,https://disclosure55.wechu.org/disclosure/Facility/Details/0d7c6dd4-9c64-4a67-9c4c-711cc9cb0e32
Required,18-Nov-2022,location.href = '/disclosure/Inspection/Details/63d03794-d99a-4674-a34d-61b80d9b9616' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/63d03794-d99a-4674-a34d-61b80d9b9616,https://disclosure55.wechu.org/disclosure/Facility/Details/0d7c6dd4-9c64-4a67-9c4c-711cc9cb0e32
Required,23-Feb-2024,location.href = '/disclosure/Inspection/Details/71c7b860-526c-4453-9e85-c3f7f3bf8949' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/71c7b860-526c-4453-9e85-c3f7f3bf8949,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Required,01-Feb-2024,location.href = '/disclosure/Inspection/Details/abb914bf-c0d2-43c6-a880-53853ba28f12' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/abb914bf-c0d2-43c6-a880-53853ba28f12,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Re-Inspection,23-Oct-2023,location.href = '/disclosure/Inspection/Details/c8468bf6-2661-4e62-a419-7ad4e507e476' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/c8468bf6-2661-4e62-a419-7ad4e507e476,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Required,18-Aug-2023,location.href = '/disclosure/Inspection/Details/4b7da184-d5f7-4caf-8236-47e99e53138e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/4b7da184-d5f7-4caf-8236-47e99e53138e,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Re-Inspection,27-Jan-2023,location.href = '/disclosure/Inspection/Details/537fd89a-583d-4496-a476-bd7424b47228' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/537fd89a-583d-4496-a476-bd7424b47228,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Required,12-Jan-2023,location.href = '/disclosure/Inspection/Details/0ae0a0fc-79b2-4ce9-a8cc-37ce53ad946b' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/0ae0a0fc-79b2-4ce9-a8cc-37ce53ad946b,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Required,17-Nov-2023,location.href = '/disclosure/Inspection/Details/8d32aacd-c552-4179-be82-bb6d7a1b36c2' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/8d32aacd-c552-4179-be82-bb6d7a1b36c2,https://disclosure55.wechu.org/disclosure/Facility/Details/5267b6b0-8ed4-48e8-8ad9-022d9754bd7d
Required,08-Sep-2023,location.href = '/disclosure/Inspection/Details/b969f9b2-edcd-4fab-bec2-9ce76c29a629' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/b969f9b2-edcd-4fab-bec2-9ce76c29a629,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,21-Aug-2023,location.href = '/disclosure/Inspection/Details/dd666a4a-4c82-49f6-837c-9f5b755109ab' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/dd666a4a-4c82-49f6-837c-9f5b755109ab,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,24-Jun-2023,location.href = '/disclosure/Inspection/Details/afc8197a-48d6-463a-8f4f-489b5c91690e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/afc8197a-48d6-463a-8f4f-489b5c91690e,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,10-Jun-2023,location.href = '/disclosure/Inspection/Details/bef4078f-557a-412e-ab25-8c687edbf8b8' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/bef4078f-557a-412e-ab25-8c687edbf8b8,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Re-Inspection,23-May-2023,location.href = '/disclosure/Inspection/Details/66ba2150-408f-41c1-ac66-eb88383bd310' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/66ba2150-408f-41c1-ac66-eb88383bd310,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,21-Apr-2023,location.href = '/disclosure/Inspection/Details/40b0af1b-7917-4662-b111-645781e18b6d' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/40b0af1b-7917-4662-b111-645781e18b6d,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,08-Jun-2022,location.href = '/disclosure/Inspection/Details/0541591c-96ce-47c8-b98e-0c3e03b199b6' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/0541591c-96ce-47c8-b98e-0c3e03b199b6,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
